1793_1796

jehla  H  V  první pin       vst. SIG     UZEL
----- ------ ------------    --------     -------------------
P216  >  -   (20.5, 35.0)    IN:  737     2:SIGN383 —>§223
P372  >  vv  (13.0, 24.0)    IN:   24     2:SIGN358 —>§372
P208  >  -   (20.5, 16.0)    IN:  718     2:SIGN362 —>§215
P207  -  ^   (20.0, 15.0)    IN:  639     2:SIGN361 —>§214
P340  << ^^  (20.0, 74.0)    IN:  698     2:SIGN409 —>§347
P341  -  vv  (20.0, 74.0)    IN:  698     2:SIGN409 —>§347
P230  >> ^^  (20.5, 54.0)    IN:  756     2:SIGN397 —>§237
P196  >  vv  (20.0, 65.0)    IN:  689     2:FP_3 —>§203
P192  -  ^^  (14.5, 64.0)    IN:  220     2:BP_HALTEN —>§199
P292  -  v   (14.0, 51.0)    IN:  129     2:SIGN522 —>§299
P293  -  ^^  (14.0, 49.0)    IN:  127     2:SIGN523 —>§300
P313  -  -   (16.0, 47.0)    IN:  281     2:SIGN544 —>§320
P309  >  -   (16.5, 45.0)    IN:50045     2:SIGN540 —>§316
P319  -  v   (14.0, 45.0)    IN:  123     2:SIGN552 —>§326
P303  >  -   (23.0, 36.0)    IN:  972     2:SIGN534 —>§310
P368  >> ^   (13.0, 49.0)    IN:   49     1:M —>§178
P209  >  v   (20.5, 17.0)    IN:  719     2:SIGN363 —>§216
P210  -  -   (20.5, 27.0)    IN:  729     2:SIGN364 —>§217
P211  -  -   (20.0, 26.0)    IN:  650     2:SIGN365 —>§218
P234  >  ^   (20.0,  6.0)    IN:  630     2:SIGN403 —>§241
P235  -  -   (20.5,  6.0)    IN:  708     2:SIGN404 —>§242
P231  -  vv  (20.0, 11.0)    IN:  635     2:SIGN399 —>§238
P228  << ^^  (20.0, 71.0)    IN:  695     2:SIGN395 —>§235
P229  -  -   (20.0, 41.0)    IN:  665     2:SIGN396 —>§236
P308  -  ^   (16.0, 54.0)    IN:  288     2:SIGN539 —>§315
P355  -  ^   (20.0, 48.0)    IN:  672     2:P3V3 —>§360
P362  -  vv  (13.0, 49.0)    IN:   49     1:M —>§178
P333  -  ^   (16.0, 62.0)    IN:  296     2:ZOSC —>§340
P298  -  vv  (20.0, 52.0)    IN:  676     2:SIGN529 —>§305
P195  -  ^^  (16.5, 53.0)    IN:50053     2:FP3 —>§202
P295  -  v   (14.5, 61.0)    IN:  217     2:SIGN525 —>§302
P194  -  -   (16.5, 50.0)    IN:50050     2:FP1 —>§201
