Product,GWInstek,GDM9061,GEW921489,1.12,1.14
FileName,DMM DataLog-DMM DataLog-PIN4.csv.csv_0.csv
Function(1ST),DC Voltage,100/s
Function(2ND),OFF,NONE
LogUnit,Auto
MathFunction,Off
Interval,00:00:00.032
Software,V1.06,20200921,Win 10 64bit 
==========
Index,Time,1ST Value,Unit1,2ND Value,Unit2
245,2023/05/04 00:32:50.0,+02.15088,VDC,--------,---
246,2023/05/04 00:32:50.0,+02.15087,VDC,--------,---
247,2023/05/04 00:32:50.1,+02.15086,VDC,--------,---
248,2023/05/04 00:32:50.1,+02.15085,VDC,--------,---
249,2023/05/04 00:32:50.1,+02.15086,VDC,--------,---
250,2023/05/04 00:32:50.1,+02.15086,VDC,--------,---
251,2023/05/04 00:32:50.2,+02.15087,VDC,--------,---
252,2023/05/04 00:32:50.2,+02.15086,VDC,--------,---
253,2023/05/04 00:32:50.2,+02.15085,VDC,--------,---
254,2023/05/04 00:32:50.3,+02.15083,VDC,--------,---
255,2023/05/04 00:32:50.3,+02.15083,VDC,--------,---
256,2023/05/04 00:32:50.3,+02.15084,VDC,--------,---
257,2023/05/04 00:32:50.4,+02.15085,VDC,--------,---
258,2023/05/04 00:32:50.4,+02.15086,VDC,--------,---
259,2023/05/04 00:32:50.4,+02.15087,VDC,--------,---
260,2023/05/04 00:32:50.5,+02.15087,VDC,--------,---
261,2023/05/04 00:32:50.5,+02.15086,VDC,--------,---
262,2023/05/04 00:32:50.5,+02.15087,VDC,--------,---
263,2023/05/04 00:32:50.6,+02.15089,VDC,--------,---
264,2023/05/04 00:32:50.6,+02.15090,VDC,--------,---
265,2023/05/04 00:32:50.6,+02.15090,VDC,--------,---
266,2023/05/04 00:32:50.7,+02.15089,VDC,--------,---
267,2023/05/04 00:32:50.7,+02.15089,VDC,--------,---
268,2023/05/04 00:32:50.7,+02.15089,VDC,--------,---
269,2023/05/04 00:32:50.8,+02.15089,VDC,--------,---
270,2023/05/04 00:32:50.8,+02.15089,VDC,--------,---
271,2023/05/04 00:32:50.8,+02.15090,VDC,--------,---
272,2023/05/04 00:32:50.9,+02.15089,VDC,--------,---
273,2023/05/04 00:32:50.9,+02.15087,VDC,--------,---
274,2023/05/04 00:32:50.9,+02.15088,VDC,--------,---
275,2023/05/04 00:32:50.9,+02.15088,VDC,--------,---
276,2023/05/04 00:32:51.0,+02.15088,VDC,--------,---
277,2023/05/04 00:32:51.0,+02.15088,VDC,--------,---
278,2023/05/04 00:32:51.0,+02.15089,VDC,--------,---
279,2023/05/04 00:32:51.1,+02.15090,VDC,--------,---
280,2023/05/04 00:32:51.1,+02.15090,VDC,--------,---
281,2023/05/04 00:32:51.1,+02.15089,VDC,--------,---
282,2023/05/04 00:32:51.2,+02.15091,VDC,--------,---
283,2023/05/04 00:32:51.2,+02.15092,VDC,--------,---
284,2023/05/04 00:32:51.2,+02.15094,VDC,--------,---
285,2023/05/04 00:32:51.3,+02.15095,VDC,--------,---
286,2023/05/04 00:32:51.3,+02.15095,VDC,--------,---
287,2023/05/04 00:32:51.3,+02.15095,VDC,--------,---
288,2023/05/04 00:32:51.4,+02.15094,VDC,--------,---
289,2023/05/04 00:32:51.4,+02.15094,VDC,--------,---
290,2023/05/04 00:32:51.4,+02.15094,VDC,--------,---
291,2023/05/04 00:32:51.5,+02.15094,VDC,--------,---
292,2023/05/04 00:32:51.5,+02.15093,VDC,--------,---
293,2023/05/04 00:32:51.5,+02.15094,VDC,--------,---
294,2023/05/04 00:32:51.6,+02.15093,VDC,--------,---
295,2023/05/04 00:32:51.6,+02.15092,VDC,--------,---
296,2023/05/04 00:32:51.6,+02.15093,VDC,--------,---
297,2023/05/04 00:32:51.7,+02.15093,VDC,--------,---
298,2023/05/04 00:32:51.7,+02.15093,VDC,--------,---
299,2023/05/04 00:32:51.7,+02.15093,VDC,--------,---
300,2023/05/04 00:32:51.7,+02.15091,VDC,--------,---
301,2023/05/04 00:32:51.8,+02.15091,VDC,--------,---
302,2023/05/04 00:32:51.8,+02.15092,VDC,--------,---
303,2023/05/04 00:32:51.8,+02.15092,VDC,--------,---
304,2023/05/04 00:32:51.9,+02.15091,VDC,--------,---
305,2023/05/04 00:32:51.9,+02.15091,VDC,--------,---
306,2023/05/04 00:32:51.9,+02.15091,VDC,--------,---
307,2023/05/04 00:32:52.0,+02.15089,VDC,--------,---
308,2023/05/04 00:32:52.0,+02.15089,VDC,--------,---
309,2023/05/04 00:32:52.0,+02.15090,VDC,--------,---
310,2023/05/04 00:32:52.1,+02.15091,VDC,--------,---
311,2023/05/04 00:32:52.1,+02.15090,VDC,--------,---
312,2023/05/04 00:32:52.1,+02.15090,VDC,--------,---
313,2023/05/04 00:32:52.2,+02.15090,VDC,--------,---
314,2023/05/04 00:32:52.2,+02.15091,VDC,--------,---
315,2023/05/04 00:32:52.2,+02.15091,VDC,--------,---
316,2023/05/04 00:32:52.3,+02.15091,VDC,--------,---
317,2023/05/04 00:32:52.3,+02.15091,VDC,--------,---
318,2023/05/04 00:32:52.3,+02.15091,VDC,--------,---
319,2023/05/04 00:32:52.4,+02.15090,VDC,--------,---
320,2023/05/04 00:32:52.4,+02.15089,VDC,--------,---
321,2023/05/04 00:32:52.4,+02.15090,VDC,--------,---
322,2023/05/04 00:32:52.5,+02.15090,VDC,--------,---
323,2023/05/04 00:32:52.5,+02.15089,VDC,--------,---
324,2023/05/04 00:32:52.5,+02.15090,VDC,--------,---
325,2023/05/04 00:32:52.5,+02.15089,VDC,--------,---
326,2023/05/04 00:32:52.6,+02.15090,VDC,--------,---
327,2023/05/04 00:32:52.6,+02.15091,VDC,--------,---
328,2023/05/04 00:32:52.6,+02.15092,VDC,--------,---
329,2023/05/04 00:32:52.7,+02.15094,VDC,--------,---
330,2023/05/04 00:32:52.7,+02.15094,VDC,--------,---
331,2023/05/04 00:32:52.7,+02.15095,VDC,--------,---
332,2023/05/04 00:32:52.8,+02.15094,VDC,--------,---
333,2023/05/04 00:32:52.8,+02.15095,VDC,--------,---
334,2023/05/04 00:32:52.8,+02.15096,VDC,--------,---
335,2023/05/04 00:32:52.9,+02.15097,VDC,--------,---
336,2023/05/04 00:32:52.9,+02.15097,VDC,--------,---
337,2023/05/04 00:32:52.9,+02.15098,VDC,--------,---
338,2023/05/04 00:32:53.0,+02.15098,VDC,--------,---
339,2023/05/04 00:32:53.0,+02.15098,VDC,--------,---
340,2023/05/04 00:32:53.0,+02.15098,VDC,--------,---
341,2023/05/04 00:32:53.1,+02.15098,VDC,--------,---
342,2023/05/04 00:32:53.1,+02.15098,VDC,--------,---
343,2023/05/04 00:32:53.1,+02.15099,VDC,--------,---
344,2023/05/04 00:32:53.2,+02.15099,VDC,--------,---
345,2023/05/04 00:32:53.2,+02.15098,VDC,--------,---
346,2023/05/04 00:32:53.2,+02.15096,VDC,--------,---
347,2023/05/04 00:32:53.3,+02.15095,VDC,--------,---
348,2023/05/04 00:32:53.3,+02.15093,VDC,--------,---
349,2023/05/04 00:32:53.3,+02.15092,VDC,--------,---
350,2023/05/04 00:32:53.3,+02.15091,VDC,--------,---
351,2023/05/04 00:32:53.4,+02.15091,VDC,--------,---
352,2023/05/04 00:32:53.4,+02.15092,VDC,--------,---
353,2023/05/04 00:32:53.4,+02.15091,VDC,--------,---
354,2023/05/04 00:32:53.5,+02.15092,VDC,--------,---
355,2023/05/04 00:32:53.5,+02.15093,VDC,--------,---
356,2023/05/04 00:32:53.5,+02.15094,VDC,--------,---
357,2023/05/04 00:32:53.6,+02.15095,VDC,--------,---
358,2023/05/04 00:32:53.6,+02.15096,VDC,--------,---
359,2023/05/04 00:32:53.6,+02.15097,VDC,--------,---
360,2023/05/04 00:32:53.7,+02.15099,VDC,--------,---
361,2023/05/04 00:32:53.7,+02.15099,VDC,--------,---
362,2023/05/04 00:32:53.7,+02.15098,VDC,--------,---
363,2023/05/04 00:32:53.8,+02.15097,VDC,--------,---
364,2023/05/04 00:32:53.8,+02.15096,VDC,--------,---
365,2023/05/04 00:32:53.8,+02.15095,VDC,--------,---
366,2023/05/04 00:32:53.9,+02.15095,VDC,--------,---
367,2023/05/04 00:32:53.9,+02.15095,VDC,--------,---
368,2023/05/04 00:32:53.9,+02.15095,VDC,--------,---
369,2023/05/04 00:32:54.0,+02.15096,VDC,--------,---
370,2023/05/04 00:32:54.0,+02.15095,VDC,--------,---
371,2023/05/04 00:32:54.0,+02.15095,VDC,--------,---
372,2023/05/04 00:32:54.1,+02.15095,VDC,--------,---
373,2023/05/04 00:32:54.1,+02.15095,VDC,--------,---
374,2023/05/04 00:32:54.1,+02.15096,VDC,--------,---
375,2023/05/04 00:32:54.1,+02.15096,VDC,--------,---
376,2023/05/04 00:32:54.2,+02.15096,VDC,--------,---
377,2023/05/04 00:32:54.2,+02.15097,VDC,--------,---
378,2023/05/04 00:32:54.2,+02.15096,VDC,--------,---
379,2023/05/04 00:32:54.3,+02.15094,VDC,--------,---
380,2023/05/04 00:32:54.3,+02.15094,VDC,--------,---
381,2023/05/04 00:32:54.3,+02.15093,VDC,--------,---
382,2023/05/04 00:32:54.4,+02.15093,VDC,--------,---
383,2023/05/04 00:32:54.4,+02.15093,VDC,--------,---
384,2023/05/04 00:32:54.4,+02.15092,VDC,--------,---
385,2023/05/04 00:32:54.5,+02.15092,VDC,--------,---
386,2023/05/04 00:32:54.5,+02.15091,VDC,--------,---
387,2023/05/04 00:32:54.5,+02.15092,VDC,--------,---
388,2023/05/04 00:32:54.6,+02.15092,VDC,--------,---
389,2023/05/04 00:32:54.6,+02.15092,VDC,--------,---
390,2023/05/04 00:32:54.6,+02.15093,VDC,--------,---
391,2023/05/04 00:32:54.7,+02.15094,VDC,--------,---
392,2023/05/04 00:32:54.7,+02.15095,VDC,--------,---
393,2023/05/04 00:32:54.7,+02.15095,VDC,--------,---
394,2023/05/04 00:32:54.8,+02.15094,VDC,--------,---
395,2023/05/04 00:32:54.8,+02.15093,VDC,--------,---
396,2023/05/04 00:32:54.8,+02.15094,VDC,--------,---
397,2023/05/04 00:32:54.9,+02.15092,VDC,--------,---
398,2023/05/04 00:32:54.9,+02.15093,VDC,--------,---
399,2023/05/04 00:32:54.9,+02.15092,VDC,--------,---
400,2023/05/04 00:32:55.0,+02.15091,VDC,--------,---
401,2023/05/04 00:32:55.0,+02.15090,VDC,--------,---
402,2023/05/04 00:32:55.0,+02.15090,VDC,--------,---
403,2023/05/04 00:32:55.0,+02.15090,VDC,--------,---
404,2023/05/04 00:32:55.1,+02.15091,VDC,--------,---
405,2023/05/04 00:32:55.1,+02.15090,VDC,--------,---
406,2023/05/04 00:32:55.1,+02.15090,VDC,--------,---
407,2023/05/04 00:32:55.2,+02.15091,VDC,--------,---
408,2023/05/04 00:32:55.2,+02.15090,VDC,--------,---
409,2023/05/04 00:32:55.2,+02.15090,VDC,--------,---
410,2023/05/04 00:32:55.3,+02.15090,VDC,--------,---
411,2023/05/04 00:32:55.3,+02.15090,VDC,--------,---
412,2023/05/04 00:32:55.3,+02.15090,VDC,--------,---
413,2023/05/04 00:32:55.4,+02.15090,VDC,--------,---
414,2023/05/04 00:32:55.4,+02.15089,VDC,--------,---
